panel id,flat reference,foam reference,macrostructure reference,mesostructure reference,sand type,binder type
mean_flat_cg,mean_flat_cg,mean_foam_2,flat,Baseline_mean,"Quartz sand, avg grain size=190 micron",Furan binder
mean_flat_rfl_1,mean_flat_rfl_1,mean_foam_1,flat,Baseline_mean,"GS14 sand, avg grain size=140 micron",Phenolic binder
mean_flat_rfl_2,mean_flat_rfl_2,mean_foam_2,flat,Baseline_mean,"GS14 sand, avg grain size=140 micron",Phenolic binder
mean_flat_vj_fu,mean_flat_vj_fu,mean_foam_2,flat,Baseline_mean,"GS14 sand, avg grain size=140 micron",Furan binder
mean_flat_vj_ph,mean_flat_vj_ph,mean_foam_2,flat,Baseline_mean,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0001_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0001_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0002_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0003_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0003_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0004_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0004_1,mean_flat_rfl_2,mean_foam_2,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0005_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0005_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0006_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0006_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0007_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0007_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0008_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0008_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Polygonal_rubble_stones,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0009_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0009_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0010_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0010_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0011_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0011_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0012_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0012_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Flemish_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0013_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0013_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0014_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0015_0,mean_flat_rfl_1,mean_foam_1,panel_0015_0,Macrostructure,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0015_1,mean_flat_rfl_1,mean_foam_1,panel_0015_1,Macrostructure,"GS14 sand, avg grain size=140 micron",Phenolic binder
panel_0016_0,mean_flat_rfl_2,mean_foam_2,panel_0015_0,Stretcher_bond_bricks,"GS14 sand, avg grain size=140 micron",Phenolic binder
